State,Year,Average Temperature (F)
Alabama,Date,Value
Alabama,195501,44
Alabama,195502,49.1
Alabama,195503,58.6
Alabama,195504,66.2
Alabama,195505,73.3
Alabama,195506,73.3
Alabama,195507,79.8
Alabama,195508,80.3
Alabama,195509,76.8
Alabama,195510,62
Alabama,195511,51.8
Alabama,195512,46
Alabama,195601,42.2
Alabama,195602,53.5
Alabama,195603,54.6
Alabama,195604,61.2
Alabama,195605,73.3
Alabama,195606,76.2
Alabama,195607,79.6
Alabama,195608,80.1
Alabama,195609,72.1
Alabama,195610,65
Alabama,195611,51
Alabama,195612,54.2
Alabama,195701,48.4
Alabama,195702,56.4
Alabama,195703,52.7
Alabama,195704,65
Alabama,195705,71.8
Alabama,195706,78.2
Alabama,195707,79.7
Alabama,195708,79.5
Alabama,195709,73.8
Alabama,195710,59.4
Alabama,195711,55
Alabama,195712,47.5
Alabama,195801,39.7
Alabama,195802,38.2
Alabama,195803,50.9
Alabama,195804,63.3
Alabama,195805,70.8
Alabama,195806,77.9
Alabama,195807,79
Alabama,195808,78.9
Alabama,195809,75.1
Alabama,195810,62.3
Alabama,195811,55.9
Alabama,195812,42.6
Alabama,195901,43.1
Alabama,195902,49.4
Alabama,195903,52.1
Alabama,195904,62.3
Alabama,195905,72.8
Alabama,195906,76.6
Alabama,195907,79.8
Alabama,195908,80.2
Alabama,195909,74.7
Alabama,195910,66.2
Alabama,195911,51.3
Alabama,195912,46.9
Alabama,196001,44.5
Alabama,196002,44.4
Alabama,196003,45.3
Alabama,196004,64.1
Alabama,196005,67.8
Alabama,196006,77.3
Alabama,196007,81.1
Alabama,196008,79.1
Alabama,196009,74.6
Alabama,196010,65.1
Alabama,196011,53.4
Alabama,196012,41.8
Alabama,196101,39.2
Alabama,196102,52
Alabama,196103,57.4
Alabama,196104,58.9
Alabama,196105,67.7
Alabama,196106,73.9
Alabama,196107,77.9
Alabama,196108,77.4
Alabama,196109,74.4
Alabama,196110,62
Alabama,196111,55.4
Alabama,196112,47
Alabama,196201,42.6
Alabama,196202,55.4
Alabama,196203,50.9
Alabama,196204,60
Alabama,196205,75.3
Alabama,196206,77
Alabama,196207,80.8
Alabama,196208,80.3
Alabama,196209,74.6
Alabama,196210,65.6
Alabama,196211,51.2
Alabama,196212,42.9
Alabama,196301,39.1
Alabama,196302,41.8
Alabama,196303,58.3
Alabama,196304,65.8
Alabama,196305,71.7
Alabama,196306,77.1
Alabama,196307,78.1
Alabama,196308,79.3
Alabama,196309,73.1
Alabama,196310,65.7
Alabama,196311,53.1
Alabama,196312,37.6
Alabama,196401,42.4
Alabama,196402,42.5
Alabama,196403,54.1
Alabama,196404,65
Alabama,196405,71.1
Alabama,196406,78.4
Alabama,196407,78.1
Alabama,196408,78.1
Alabama,196409,74.6
Alabama,196410,59.8
Alabama,196411,56.3
Alabama,196412,48.3
Alabama,196501,46.5
Alabama,196502,46.4
Alabama,196503,51.3
Alabama,196504,66.1
Alabama,196505,72.6
Alabama,196506,75.7
Alabama,196507,78.8
Alabama,196508,78.4
Alabama,196509,74.8
Alabama,196510,62.1
Alabama,196511,56.9
Alabama,196512,46.6
Alabama,196601,40
Alabama,196602,46.6
Alabama,196603,53.2
Alabama,196604,63.4
Alabama,196605,69.3
Alabama,196606,74.2
Alabama,196607,80.9
Alabama,196608,77.5
Alabama,196609,72.9
Alabama,196610,61.5
Alabama,196611,54.4
Alabama,196612,45.8
Alabama,196701,45.4
Alabama,196702,44.3
Alabama,196703,58.7
Alabama,196704,67.9
Alabama,196705,68.8
Alabama,196706,76.3
Alabama,196707,76.1
Alabama,196708,75.2
Alabama,196709,68.8
Alabama,196710,60.7
Alabama,196711,50.4
Alabama,196712,50.4
Alabama,196801,42.3
Alabama,196802,40
Alabama,196803,52
Alabama,196804,63.8
Alabama,196805,69
Alabama,196806,77.6
Alabama,196807,78.7
Alabama,196808,79.4
Alabama,196809,72.3
Alabama,196810,63.6
Alabama,196811,50.8
Alabama,196812,42.5
Alabama,196901,43.3
Alabama,196902,45.8
Alabama,196903,47.6
Alabama,196904,64
Alabama,196905,69.9
Alabama,196906,77.8
Alabama,196907,81.1
Alabama,196908,77.1
Alabama,196909,72
Alabama,196910,64.1
Alabama,196911,50.2
Alabama,196912,43.5
Alabama,197001,38
Alabama,197002,44.3
Alabama,197003,52.7
Alabama,197004,65.8
Alabama,197005,70.8
Alabama,197006,75.3
Alabama,197007,79
Alabama,197008,79.1
Alabama,197009,77.4
Alabama,197010,64.2
Alabama,197011,49.3
Alabama,197012,49.5
Alabama,197101,45
Alabama,197102,45.8
Alabama,197103,50
Alabama,197104,61.2
Alabama,197105,66.5
Alabama,197106,78
Alabama,197107,78
Alabama,197108,77.7
Alabama,197109,75.2
Alabama,197110,67.7
Alabama,197111,52.2
Alabama,197112,54.9
Alabama,197201,49.1
Alabama,197202,47
Alabama,197203,55.1
Alabama,197204,63.5
Alabama,197205,68.7
Alabama,197206,75
Alabama,197207,77.6
Alabama,197208,79.1
Alabama,197209,77.2
Alabama,197210,63.4
Alabama,197211,50.7
Alabama,197212,49.1
Alabama,197301,43.2
Alabama,197302,44.6
Alabama,197303,59.9
Alabama,197304,60.1
Alabama,197305,67.7
Alabama,197306,76.9
Alabama,197307,79.9
Alabama,197308,77.6
Alabama,197309,76.5
Alabama,197310,66.7
Alabama,197311,57.6
Alabama,197312,46
Alabama,197401,55
Alabama,197402,47.7
Alabama,197403,60.1
Alabama,197404,62
Alabama,197405,71.8
Alabama,197406,73.4
Alabama,197407,78.9
Alabama,197408,77.8
Alabama,197409,70.9
Alabama,197410,60.3
Alabama,197411,52.6
Alabama,197412,46.7
Alabama,197501,49
Alabama,197502,51.1
Alabama,197503,53.7
Alabama,197504,60.9
Alabama,197505,72.3
Alabama,197506,76.1
Alabama,197507,78
Alabama,197508,78.5
Alabama,197509,70.4
Alabama,197510,64.3
Alabama,197511,54.4
Alabama,197512,45.2
Alabama,197601,40.6
Alabama,197602,53
Alabama,197603,58.2
Alabama,197604,62.7
Alabama,197605,65.4
Alabama,197606,74.6
Alabama,197607,78.6
Alabama,197608,77.1
Alabama,197609,72
Alabama,197610,57.9
Alabama,197611,45.9
Alabama,197612,42.1
Alabama,197701,33.3
Alabama,197702,45.2
Alabama,197703,57.5
Alabama,197704,64.9
Alabama,197705,71.9
Alabama,197706,79.1
Alabama,197707,81.3
Alabama,197708,79.6
Alabama,197709,75.7
Alabama,197710,60.3
Alabama,197711,55.9
